title,reference_text,generated_text,perplexity
Carrot Casserole,"[""2 c. grated raw carrots"", ""2 eggs, beaten"", ""1 c. grated cheese"", ""1 c. cracker crumbs"", ""1 small, diced onion"", ""1 can mushroom soup"", ""1/2 can water""][""Mix together well."", ""Bake in buttered casserole dish at 350\u00b0 for 45 to 55 minutes.""]","Create a recipe for the dish Carrot Casserole. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

## Carrot Casserole

**[ingredients]:**
* 2 cups grated carrots
* 1 cup chopped walnuts or pecans 
* 1/2 cup sugar
* 1/4 cup butter, melted
* 1/4 cup brown sugar
* 1 teaspoon ground cinnamon
* 1/2 teaspoon ground nutmeg
* 1/4 teaspoon salt
* 1/2 cup milk
* 1/2 cup sour cream
* 1 large egg

**[directions]:**
1. Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
2. In a large bowl, combine the grated carrots, nuts, sugar, melted butter, brown sugar, cinnamon, nutmeg, and salt. Mix well.
3. In a separate bowl, whisk together the milk, sour cream, and egg.
4. Pour the wet ingredients into the dry ingredients and stir until just combined. 
5. Pour the mixture into the prepared baking dish.
6. Bake for 30-35 minutes, or until the casserole is set and lightly browned on top.
7. Let cool for 10-15 minutes before serving. 


Enjoy!",3.2109710695290525
Melt In Your Mouth Chicken Casserole,"[""2 1/2 to 3 lb. chicken, cooked and deboned (save broth)"", ""1 can cream of chicken or mushroom soup"", ""1 stick margarine, melted"", ""1 c. self-rising flour"", ""1 c. buttermilk"", ""salt and pepper to taste""][""Preheat oven to 425\u00b0."", ""In oblong baking dish, place the deboned chicken pieces on bottom."", ""Mix can of soup with 2 1/2 cups of the reserved broth."", ""Pour over chicken."", ""Sprinkle salt and pepper over chicken."", ""In bowl, mix melted margarine, flour and milk."", ""Pour over chicken."", ""Bake for 30 minutes or until golden brown.""]","Create a recipe for the dish Melt In Your Mouth Chicken Casserole. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

## Melt-In-Your-Mouth Chicken Casserole 

[ingredients]: 
* 1.5 lbs boneless, skinless chicken breasts, cooked and shredded
* 1 (10.75 oz) can condensed cream of chicken soup
* 1/2 cup milk
* 1/4 cup sour cream
* 1/4 cup chopped onion
* 1/2 cup shredded cheddar cheese
* 1/4 cup chopped fresh parsley (optional)
* Salt and pepper to taste
* 1 cup cooked egg noodles

[directions]: 
1. Preheat oven to 350°F (175°C).
2. In a large bowl, combine the shredded chicken, cream of chicken soup, milk, sour cream, onion, cheese, parsley (if using), salt, and pepper. Mix well.
3. Stir in the cooked egg noodles.
4. Pour the mixture into a greased 9x13 inch baking dish.
5. Bake for 20-25 minutes, or until heated through and bubbly.
6. Let stand for 5 minutes before serving.",3.2501081988293876
Autumn Apple Salad,"[""1 (20 oz.) can crushed pineapple (undrained)"", ""2/3 c. sugar"", ""1 (3 oz.) pkg. lemon flavored gelatin"", ""1 (8 oz.) pkg. cream cheese, softened"", ""1 c. diced, unpeeled apples"", ""1/2 to 1 c. chopped nuts"", ""1 c. chopped celery"", ""1 c. whipped topping"", ""lettuce leaves""][""In a saucepan, combine pineapple and sugar; bring to a boil and boil for 3 minutes."", ""Add gelatin; stir until dissolved."", ""Add cream cheese; stir until mixture is thoroughly combined."", ""Cool. Fold in apples, nuts, celery and whipped topping."", ""Pour into a 9-inch square baking pan."", ""Chill until firm."", ""Cut into squares and serve on lettuce leaves."", ""Makes 9 to 12 servings.""]","Create a recipe for the dish Autumn Apple Salad. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]


## Autumn Apple Salad

**Ingredients:**

* 4 cups thinly sliced apples (about 4 medium), a mix of varieties like Honeycrisp, Granny Smith, and Fuji
* 1/2 cup chopped walnuts or pecans
* 1/4 cup dried cranberries
* 1/4 cup raisins
* 1/4 cup chopped celery 
* 1/4 cup crumbled feta cheese (optional)

**Dressing:**

* 1/4 cup apple cider vinegar
* 1/4 cup extra virgin olive oil
* 2 tablespoons honey
* 1 teaspoon Dijon mustard
* 1/2 teaspoon ground cinnamon
* 1/4 teaspoon ground nutmeg

**Directions:**

1. Combine the sliced apples, walnuts, cranberries, raisins, celery, and feta cheese (if using) in a large bowl.
2. In a separate small bowl, whisk together the apple cider vinegar, olive oil, honey, Dijon mustard, cinnamon, and nutmeg until well combined.
3. Pour the dressing over the apple mixture and toss gently to coat.
4. Refrigerate for at least 30 minutes to allow the flavors to meld. 
5. Serve chilled.",3.262130266174233
Macaroni And Cheese,"[""1 (8 oz.) box elbow macaroni"", ""3 c. grated cheese"", ""4 eggs"", ""1 stick butter"", ""1 can canned milk""][""Cook macaroni until done; drain. Grate cheese. Break eggs in blender; add milk. Whip good; pour over macaroni. Add 1/2 cheese. Add butter. Pour into baking dish. Cover with remaining cheese. Cover with tinfoil and bake until firm and cheese is melted.""]","Create a recipe for the dish Macaroni And Cheese. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""] 

## Macaroni and Cheese

**[ingredients]:**
* 1 lb elbow macaroni
* 4 Tbsp butter
* 1/4 cup all-purpose flour
* 3 cups milk
* 1 tsp salt
* 1/2 tsp black pepper
* 2 cups shredded cheddar cheese
* 1 cup shredded Gruyère cheese (optional)

**[directions]:**

1. Preheat oven to 350°F (175°C).
2. Cook macaroni according to package directions. Drain and set aside.
3. In a large saucepan, melt butter over medium heat.
4. Whisk in flour and cook for 1 minute, stirring constantly.
5. Gradually whisk in milk until smooth. 
6. Bring to a simmer, stirring frequently, and cook until thickened, about 5 minutes.
7. Stir in salt, pepper, cheddar cheese, and Gruyère cheese (if using) until melted and smooth. 
8. Stir in cooked macaroni.
9. Pour mixture into a greased 9x13 inch baking dish.
10. Bake for 20-25 minutes, or until bubbly and golden brown.",3.150319426215731
Peanut Butter Blossoms,"[""1/2 c. shortening"", ""1/2 c. peanut butter"", ""1/2 c. sugar"", ""1/2 c. brown sugar, firmly packed"", ""1 egg"", ""2 Tbsp. milk"", ""1 tsp. vanilla extract"", ""1 3/4 c. flour"", ""1/4 c. sugar"", ""48 chocolate kisses""][""Cream"", ""shortening and peanut butter."", ""Gradually add 1/2 cup sugar"", ""and\tbrown"", ""sugar, beating until light and fluffy. Add egg,"", ""milk\tand"", ""vanilla;"", ""beat"", ""well."", ""Combine flour and creamed mixture."", ""Roll dough into 1-inch balls; roll into 1/4 cup of sugar."", ""Place balls 2-inches apart on a lightly greased cookie sheet."", ""Bake at 375\u00b0 for 8 minutes."", ""Remove from oven, press"", ""a chocolate kiss into center of cookie; return to oven for another 2 minutes."", ""Yield: 4 dozen.""]","Create a recipe for the dish Peanut Butter Blossoms. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

## Peanut Butter Blossoms 

[ingredients]: 
* 1 cup (2 sticks) unsalted butter, softened
* 1 cup granulated sugar
* 1/2 cup packed light brown sugar
* 1 large egg
* 1 teaspoon vanilla extract
* 2 1/4 cups all-purpose flour
* 1/2 teaspoon baking soda
* 1/4 teaspoon salt
* 1 cup peanut butter
* 1 cup milk chocolate kisses

[directions]: 
1. Preheat oven to 375 degrees F (190 degrees C). Line baking sheets with parchment paper.
2. In a large bowl, cream together the butter, granulated sugar, and brown sugar until light and fluffy. Beat in the egg and vanilla.
3. In a separate bowl, whisk together the flour, baking soda, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined.
4. Stir in the peanut butter until evenly distributed.
5. Roll dough into 1-inch balls. Place balls on the prepared baking sheets, about 2 inches apart.
6. Bake for 9-11 minutes, or until edges are lightly golden brown. 
7. Immediately press a chocolate kiss into the center of each warm cookie. 
8. Let cookies cool completely on baking sheets before serving.",2.9584723793691623
Cathedral Window Candy,"[""2 Tbsp. butter"", ""1 c. chocolate chips"", ""1 egg, beaten"", ""1 c. confectioners sugar"", ""3 c. colored miniature marshmallows""][""Place butter and chocolate chips in medium heat resistant bowl."", ""Heat, uncovered, in microwave for 4 minutes, or until melted."", ""Combine egg and sugar; add slowly to chocolate mixture. Stir in marshmallows to coat well."", ""Pour onto waxed paper."", ""Shape into 18-inch log."", ""Refrigerate."", ""Slice before serving.""]","Create a recipe for the dish Cathedral Window Candy. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

## Cathedral Window Candy

**Ingredients:**

* 2 cups granulated sugar
* 1 cup light corn syrup
* 1/2 cup water
* 1/4 teaspoon salt
* 1/2 teaspoon vanilla extract
* Red food coloring (gel or liquid)
* Assorted hard candies, unwrapped (like Jolly Ranchers or Life Savers)

**Directions:**

1. **Prepare the candy syrup:** In a medium saucepan, combine the granulated sugar, corn syrup, water, and salt. Stir over medium heat until the sugar dissolves. 
2. **Cook the syrup:** Once the sugar is dissolved, clip a candy thermometer to the side of the pan. Bring the mixture to a boil without stirring. Continue boiling until the syrup reaches 300°F (hard-crack stage). This will take about 10-15 minutes. 
3. **Add flavoring:** Remove the pan from the heat and immediately stir in the vanilla extract. If desired, divide the syrup into a few bowls and add a few drops of red food coloring to each bowl to create different colored syrups.
4. **Assemble the windows:** Line a baking sheet with parchment paper or a silicone baking mat. Working quickly, drop spoonfuls of the hot candy syrup onto the prepared baking sheet.  Immediately place a few hard candies in the center of each puddle of syrup.  
5. **Let cool and harden:** Allow the candy to cool and harden completely. This will take about 30-45 minutes.  Once hardened, gently peel the candy from the parchment paper.

**Tips:**

* Be careful when working with hot sugar syrup. It can cause severe burns.
* Use a candy thermometer to ensure that the syrup reaches the correct temperature.
* If the syrup starts to crystallize, you can add a tablespoon of water to the pan and stir gently.
* For a more intricate design, you can use different shapes and colors of hard candies.",3.1964111675788254
Blt Bites,"[""16 to 20 cherry tomatoes"", ""1 lb. bacon, cooked and crumbled"", ""1/2 c. mayonnaise"", ""1/3 c. chopped green onion"", ""3 Tbsp. grated Parmesan cheese"", ""2 Tbsp. parsley""][""Cut a thin slice off of each tomato top."", ""Scoop out pulp. Invert the tomatoes on paper towel to drain.""]","Create a recipe for the dish Blt Bites. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

\[title]: BLT Bites
 [ingredients]: [""1 package (16 ounces) refrigerated biscuits"", ""4 slices bacon, cooked and crumbled"", ""1/2 cup mayonnaise"", ""1/4 cup shredded cheddar cheese"", ""4 cups lettuce, chopped"", ""1/4 cup diced tomatoes""]
 [directions]: [""Preheat oven to 375 degrees F (190 degrees C)."", ""Separate biscuits into individual pieces."", ""In a medium bowl, combine mayonnaise, cheddar cheese, bacon, lettuce, and tomatoes."", ""Spoon mixture into each biscuit cup."", ""Bake for 12-15 minutes, or until biscuits are golden brown and filling is heated through.""]",4.902169247231607
Tostado Casserole,"[""1 lb. ground beef"", ""15 oz. can tomato sauce"", ""1 envelope taco seasoning mix"", ""2 1/2 c. corn chips"", ""15 1/2 oz. can refried beans"", ""2 oz. (1/2 c.) shredded Cheddar cheese""][""In a skillet, brown ground beef."", ""Drain and add 1 1/2 cups tomato sauce and seasoning mix and mix well."", ""Line bottom of a 11 x 8 x 2 pan with 2 cups corn chips."", ""Crush remaining corn chips and set aside."", ""Spoon meat mixture over corn chips in baking dish. Combine remaining tomato sauce and refried beans."", ""Spread over ground beef mixture."", ""Bake at 375\u00b0 for 25 minutes."", ""Sprinkle with shredded cheese and crushed corn chips."", ""Bake for 5 more minutes.""]","Create a recipe for the dish Tostado Casserole. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]

## Tostada Casserole

**[ingredients]:**
* 1 tbsp. vegetable oil
* 1 lb. ground beef
* 1 packet (1 oz.) taco seasoning
* 1/2 cup water
* 1 (15 oz.) can black beans, rinsed and drained
* 1 (15 oz.) can corn, drained
* 1 (10 oz.) can diced tomatoes with green chilies, undrained
* 1 (1 oz.) packet shredded cheddar cheese
* 12 tostada shells

**[directions]:**

1. Preheat oven to 350 degrees F (175 degrees C).
2. Heat oil in a large skillet over medium heat.  Add ground beef and cook until browned, breaking it up with a spoon.
3. Drain off any excess fat. Stir in taco seasoning and water. Bring to a simmer and cook for 5 minutes, or until thickened.
4. Stir in black beans, corn, and diced tomatoes with green chilies. 
5.  Spread a thin layer of the beef mixture in the bottom of a greased 9x13 inch baking dish. Top with 6 tostada shells, overlapping as needed. 
6. Spread another layer of the beef mixture over the tostada shells. Top with 6 more tostada shells.
7. Pour the remaining beef mixture over the tostada shells. Sprinkle with shredded cheese.
8. Bake in preheated oven for 20-25 minutes, or until cheese is melted and bubbly.
9. Let stand for 5 minutes before serving.",3.021792564577009
Jalapeno Pie,"[""1 (7 oz.) can whole green chili peppers or 2 (4 oz.) cans chopped green chilies"", ""5 eggs, beaten"", ""1/2 lb. sharp Cheddar cheese"", ""salt and pepper, to taste""][""Drain peppers (seed whole ones)."", ""If using whole peppers, cut them lengthwise and line sides and bottom of a 9-inch pie plate. Preheat oven to 350\u00b0.""]","Create a recipe for the dish Jalapeno Pie. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]


## Jalapeno Pie

**[ingredients]:**
* 1 (9-inch) unbaked pie crust
* 1 (15-ounce) can black beans, drained and rinsed
* 1 (10-ounce) can diced tomatoes with green chiles, undrained
* 1/2 cup chopped onion
* 1/4 cup chopped fresh cilantro
* 1/4 cup jalapeno peppers, finely chopped (adjust to taste)
* 1 teaspoon chili powder
* 1/2 teaspoon cumin
* 1/4 teaspoon salt
* 1/4 teaspoon black pepper
* 1/2 cup shredded cheddar cheese

**[directions]:**

1. Preheat oven to 350 degrees F (175 degrees C).
2. In a large bowl, combine black beans, diced tomatoes with green chiles, onion, cilantro, jalapeno peppers, chili powder, cumin, salt, and pepper. 
3. Pour the mixture into the unbaked pie crust.
4. Sprinkle the shredded cheddar cheese evenly over the top.
5. Bake for 30-35 minutes, or until the crust is golden brown and the filling is heated through.
6. Let cool slightly before serving. 

**Enjoy!**",3.0644136265120094
Buttermilk Corn Bread,"[""1 c. unbleached white flour"", ""1 c. corn meal"", ""1/2 c. sugar"", ""1/2 c. cornstarch"", ""1 Tbsp. baking powder"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 egg"", ""1/4 c. butter, melted"", ""1 1/2 c. buttermilk""][""Combine flour, corn meal, sugar, cornstarch, baking powder, baking soda and salt in large bowl."", ""Beat egg in smaller bowl and whisk in butter slowly until well mixed."", ""Whisk in buttermilk. Pour egg mixture into dry ingredients, mixing until just blended. Gently spoon into greased 9 x 5-inch loaf pan."", ""Bake at 375\u00b0 for 45 minutes or until wooden pick inserted in center of loaf comes out clean."", ""Makes 1 loaf.""]","Create a recipe for the dish Buttermilk Corn Bread. Include the [ingredients], and [directions]. 
Here is an example of a recipe:\n\[title]: No-Bake Nut Cookies\n [ingredients]: [""1 c. firmly packed brown sugar"", ""1/2 c. evaporated milk"", ""1/2 tsp. vanilla"", ""1/2 c. broken nuts (pecans)"", ""2 Tbsp. butter or margarine"", ""3 1/2 c. bite size shredded rice biscuits""]\n [directions]: [""In a heavy 2-quart saucepan, mix brown sugar, nuts, evaporated milk and butter or margarine."", ""Stir over medium heat until mixture bubbles all over top."", ""Boil and stir 5 minutes more. Take off heat."", ""Stir in vanilla and cereal; mix well."", ""Using 2 teaspoons, drop and shape into 30 clusters on wax paper."", ""Let stand until firm, about 30 minutes.""]


## Buttermilk Corn Bread

**Ingredients:**

* 1 cup all-purpose flour
* 1 cup yellow cornmeal 
* 1/4 cup granulated sugar
* 1 tablespoon baking powder
* 1/2 teaspoon baking soda
* 1/2 teaspoon salt
* 1 large egg
* 1 cup buttermilk
* 1/4 cup melted unsalted butter

**Directions:**

1. Preheat oven to 400°F (200°C). Grease an 8-inch square baking pan.
2. In a large bowl, whisk together the flour, cornmeal, sugar, baking powder, baking soda, and salt.
3. In a separate bowl, whisk together the egg, buttermilk, and melted butter.
4. Pour the wet ingredients into the dry ingredients and stir until just combined. Do not overmix.
5. Pour the batter into the prepared baking pan and spread evenly.
6. Bake for 20-25 minutes, or until a toothpick inserted into the center comes out clean.
7. Let cool in the pan for 10 minutes before serving. 



Enjoy your warm, fluffy buttermilk cornbread!",3.166538864735901
